Protein,community_DC,community_CC,community_BC,community_EC,community_PageRank
YHR219W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YIL014C-A,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YIL049W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YIL080W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YIL082W-A,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YIR041W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YJL027C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YJL028W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YJL116C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YJL139C,0.7327485380116959,1.120141469321354,0.004598321753985949,0.10837288421996388,0.01299133020228128
YJL193W,0.4084429824561403,0.9440392603820174,0.0008689127409283844,0.20800562635602177,0.017941071287175113
YJL213W,0.6177944862155389,1.1013905549724263,0.0023314943830011732,0.19344201928398042,0.024352643379047044
YJL225C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YJR086W,0.35526315789473684,0.8793320714373345,0.0005717237082972983,0.09973920418401835,0.025387895768879606
YJR107W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YJR111C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YJR116W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YJR126C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YJR127C,0.5646390566580385,0.9859630302288889,0.0024405368373917047,0.07557749269860295,0.010792255572576726
YJR147W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YJR151C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YJR158W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YKL032C,0.6585213032581453,0.9789184864842759,0.0030436768284368997,0.09548327153341168,0.020184404719696635
YKL043W,0.696078431372549,1.20781835338301,0.004448031294269025,0.16598332318364156,0.017511601919866525
YKL201C,0.4492481203007519,1.014883688722698,0.0015668687861010626,0.0849179211926516,0.010829418801546652
YKR013W,0.39792663476874,1.0116300115272154,0.0004548337845667982,0.2865449805443266,0.05034010789518628
YKR015C,0.9692982456140351,1.4580297828324218,0.032038053976305644,0.1801280747123599,0.024853257373171248
YKR042W,0.502361673414305,0.9663988402378494,0.001030792185551319,0.18836241569634277,0.038085394936131105
YKR045C,0.7449874686716791,1.2082218257508177,0.007216113590565497,0.22626331117485743,0.022302598721711066
